Subcomplex	Subunit	Gene_ID	Chromosome	GFF3_Annotation	BLAST_Evidence	Genome
SubB	PnsB1	Zm00001eb412420	chr10	Photosynthetic NDH subunit of subcomplex B 1, chloroplastic; Photosynthetic NDH subunit of subcomplex B 1 chloroplastic	BLAST 62.2% id (homeolog)	nuclear
SubB	PnsB2	Zm00001eb403240	chr9	Photosynthetic NDH subunit of subcomplex B 2 chloroplastic	BLAST 54.4% id	nuclear
SubB	PnsB2	Zm00001eb004410	chr1	Photosynthetic NDH subunit of subcomplex B 2 chloroplastic	BLAST 53.7% id (homeolog)	nuclear
SubB	PnsB3	Zm00001eb321670	chr7	Electron carrier/ electron transporter/ iron ion binding protein (Photosynthetic NDH subunit of subcomplex B 3 chloroplastic)	BLAST 71.9% id	nuclear
SubB	PnsB3	Zm00001eb105200	chr2	2Fe-2S ferredoxin-type domain-containing protein	BLAST 71.2% id (homeolog)	nuclear
SubB	PnsB4	Zm00001eb254450	chr5	Photosynthetic NDH subunit of subcomplex B 4 chloroplastic; Uncharacterized protein	BLAST 63.1% id	nuclear
SubB	PnsB5	Zm00001eb142440	chr3	Photosynthetic NDH subunit of subcomplex B 5 chloroplastic	BLAST 61.6% id	nuclear
SubL	PnsL1/PPL2	Zm00001eb012750	chr1	PsbP C-terminal domain-containing protein	BLAST 63.5% id	nuclear
SubL	PnsL2	Zm00001eb183170	chr4	Oxygen evolving enhancer protein 3; Uncharacterized protein	BLAST 66.4% id	nuclear
SubL	PnsL2	Zm00001eb244980	chr5	Photosynthetic NDH subunit of lumenal location 2 chloroplastic; Photosynthetic NDH subunit of lumenal location 2, chloroplastic	BLAST 64.8% id (homeolog)	nuclear
SubL	PnsL3	Zm00001eb298270	chr7	Oxygen evolving enhancer protein 3 containing protein	BLAST 56.4% id	nuclear
SubL	PnsL4/FKBP16-2	Zm00001eb255120	chr5	peptidylprolyl isomerase (EC 5.2.1.8)	BLAST 68.9% id	nuclear
SubL	PnsL5/CYP20-2	Zm00001eb356220	chr8	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	BLAST 82.3% id	nuclear
SubL	PnsL5/CYP20-2	Zm00001eb267580	chr6	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	BLAST 86.0% id (homeolog)	nuclear
SubM	CRR3	Zm00001eb309450	chr7	Putative NAD(P)H dehydrogenase subunit CRR3 chloroplastic	BLAST 40.3% id + GFF3 annotation	nuclear
PSI-linker	Lhca5	Zm00001eb255850	chr5	Chlorophyll a-b binding protein, chloroplastic	BLAST 76.3% id	nuclear
PSI-linker	Lhca6	Zm00001eb100140	chr2	Chlorophyll a-b binding protein, chloroplastic	BLAST 71.3% id	nuclear
PSI-linker	Lhca6	Zm00001eb325410	chr7	Chlorophyll a-b binding protein, chloroplastic	BLAST 64.9% id (homeolog)	nuclear
