geneID,v5_gene_id,category,keep_flag,gene_name,annotation
Zm00001eb026710,Zm00001eb026710,Fst_landraces_N,1,,
Zm00001eb029510,Zm00001eb029510,Fst_landraces_N,1,,
Zm00001eb248380,Zm00001eb248380,Fst_landraces_N,1,,
Zm00001eb002380,Zm00001eb002380,Fst_landraces_N,1,,
Zm00001eb138310,Zm00001eb138310,Fst_landraces_N,1,,
Zm00001eb362500,Zm00001eb362500,Fst_landraces_N,1,,
Zm00001eb233650,Zm00001eb233650,Fst_landraces_N,1,,
Zm00001eb190840,Zm00001eb190840,Fst_landraces_N,1,,
Zm00001eb151430,Zm00001eb151430,Fst_landraces_N,1,,
Zm00001eb022670,Zm00001eb022670,Fst_landraces_N,1,,
Zm00001eb055170,Zm00001eb055170,Fst_landraces_N,1,,
Zm00001eb126140,Zm00001eb126140,Fst_landraces_N,1,,
Zm00001eb159620,Zm00001eb159620,Fst_landraces_N,1,,
Zm00001eb082870,Zm00001eb082870,Fst_landraces_N,1,,
Zm00001eb346540,Zm00001eb346540,Fst_landraces_N,1,,
Zm00001eb289180,Zm00001eb289180,Fst_landraces_N,1,,
Zm00001eb050740,Zm00001eb050740,Fst_landraces_N,1,,
Zm00001eb241970,Zm00001eb241970,Fst_landraces_N,1,,
Zm00001eb363940,Zm00001eb363940,Fst_landraces_N,1,,
Zm00001eb249700,Zm00001eb249700,Fst_landraces_N,1,,
Zm00001eb397190,Zm00001eb397190,Fst_landraces_N,1,,
